MATRIX,DAYHOFF_RECODE_SCORE,BEST_RECODE_SCORE,RECODE
matrices/BLOSUM100,-6,-6,ILMV DEKQR FHWY AST GNP
matrices/BLOSUM30,17,28,FWY ILMV EKQR ADNST GHP
matrices/BLOSUM35,19,26,ILMV FWY EKQR AGNST DHP
matrices/BLOSUM40,26,28,FWY ILMTV EKQR DHNS AGP
matrices/BLOSUM45,22,24,ILMV DEKQR FHWY NST AGP
matrices/BLOSUM50,25,31,ILMV EHKQR DNST FWY AGP
matrices/BLOSUM55,27,32,ILMV EHKQR DNST FWY ACG
matrices/BLOSUM60,17,20,ILMV EKNQR FHWY AST DGP
matrices/BLOSUM62,17,20,ILMV EKNQR FHWY AST DGP
matrices/BLOSUM65,17,19,ILMV EKNQR FHWY AST DGP
matrices/BLOSUM70,13,20,ILMV EHKQR DNST FWY ACG
matrices/BLOSUM75,11,19,ILMV EHKQR ACST FWY DGN
matrices/BLOSUM80,16,20,ILMV EHKQR ANST FWY DGP
matrices/BLOSUM85,7,11,ILMV EHKQR DNST FWY AGP
matrices/BLOSUM90,5,11,EHKQR ILMV DNST FWY AGP
matrices/BLOSUMN,-6,-5,ILMV EKNQR FWY AGST DHP
matrices/BLOSUMN.50,-6,-5,ILMV EKNQR FWY AGST DHP
matrices/DAYHOFF,45,45,ILMV DEHQ FWY KNR AGPST
matrices/GONNET,44,45,ILMV DEKNQ FWY ACST HPR
matrices/PAM10,-122,-120,ILMV DEN AGPST HKQR FWY
matrices/PAM100,21,24,DEN ILMV AGPST HKQR FWY
matrices/PAM110,23,24,DEHNQ ILMV APST FWY GKR
matrices/PAM120,25,26,ILMV DEN AGPST HKQR FWY
matrices/PAM130,28,29,ILMV DEN AGPST HKQR FWY
matrices/PAM140,31,32,ILMV DEN AGPST HKQR FWY
matrices/PAM150,31,32,ILMV DEN AGPST HKQR FWY
matrices/PAM160,32,32,ILMV DENQ AGPST FWY HKR
matrices/PAM170,49,49,ILMV DENQ AGPST FWY HKR
matrices/PAM180,49,49,ILMV DENQ AGPST FWY HKR
matrices/PAM190,49,49,ILMV DENQ AGPST FWY HKR
matrices/PAM20,-72,-72,DEHNQ ILMV APST FWY GKR
matrices/PAM200,49,49,ILMV DENQ AGPST FWY HKR
matrices/PAM210,49,49,ILMV DENQ AGPST FWY HKR
matrices/PAM220,50,50,ILMV DENQ AGPST FWY HKR
matrices/PAM230,49,49,ILMV DEHQ FWY KNR AGPST
matrices/PAM240,47,47,ILMV DEHQ FWY KNR AGPST
matrices/PAM250,46,46,ILMV DEHQ AGPST FWY KNR
matrices/PAM260,46,46,ILMV DEHQ AGPST FWY KNR
matrices/PAM270,59,62,ILMV DEHNQ AGST FWY KPR
matrices/PAM280,58,59,ILMV DEHNQ FWY KRS AGPT
matrices/PAM290,58,59,ILMV DEHNQ FWY KRS AGPT
matrices/PAM30,-44,-44,DEHNQ ILMV APST FWY GKR
matrices/PAM300,57,58,ILMV DEHNQ FWY KRS AGPT
matrices/PAM310,56,57,ILMV DEHNQ FWY KRS AGPT
matrices/PAM320,54,55,ILMV DEHNQ FWY KRS AGPT
matrices/PAM330,54,54,ILMV DEHNQ FWY KRS AGPT
matrices/PAM340,52,45,FLY DEHNQ IMTV AGPS KRW
matrices/PAM350,65,65,ILMV DEHNQ AGST FWY KPR
matrices/PAM360,65,65,ILMV DEHNQ FWY AGST KPR
matrices/PAM370,63,64,ILMV HKQR ADEGN FWY PST
matrices/PAM380,61,62,ILMV HKQR ADEGN FWY PST
matrices/PAM390,60,60,ILMV DENQ AGPST FWY HKR
matrices/PAM40,-27,-26,DEN ILMV AGPST HKQR FWY
matrices/PAM400,58,43,FILMY DENQ HKR APST CGV
matrices/PAM410,66,55,FLY DEHNQ IMTV AGPS KRW
matrices/PAM420,66,55,FLY DEHNQ IMTV AGPS KRW
matrices/PAM430,66,55,FLY DEHNQ IMTV AGPS KRW
matrices/PAM440,65,54,FLY DEHNQ IMTV AGPS KRW
matrices/PAM450,62,53,FLY DEHNQ IMTV KRW AGPS
matrices/PAM460,60,49,FLY DEHNQ IMTV AGPS KRW
matrices/PAM470,68,56,FLY DEHNQ IMTV AGPS KRW
matrices/PAM480,68,56,FLY DEHNQ IMTV AGPS KRW
matrices/PAM490,68,55,FLY DEHNQ IMTV AGPS KRW
matrices/PAM50,-13,-12,ILMV DEN AGPST HKQR FWY
matrices/PAM500,65,49,FILMY HKQR DENS APT CGV
matrices/PAM60,-2,-5,DEN ILMV AGPST HKQR W CF
matrices/PAM70,8,8,DENQ ILMV AGPST FWY HKR
matrices/PAM80,12,8,DEHNQ ILMV APST KRW CFY
matrices/PAM90,15,13,DEHNQ ILMV APST KRW CFY
